uct_time,launch_name,payloads,rocket_name,rocket_boosters,rocket_height,rocket_diameter,rocket_mass,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
2022-07-17 14:50:00+00:00,Starlink 4-22 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2022-07-21 17:13:00+00:00,Starlink 3-2 (v1.5),"[{'type': 'Satellite', 'mass': 14100, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2022-07-24 00:00:00+00:00,Starlink 4-25 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
2022-08-04 23:08:00+00:00,KPLO,"[{'type': 'Satellite', 'mass': 678, 'orbit': 'TLI'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2022-08-09 22:57:00+00:00,Starlink 4-26 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,,"(33.7291858, -118.262015)",Success
2022-08-12 21:30:00+00:00,Starlink 3-3 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,556404.5416666666,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2022-08-19 19:24:00+00:00,Starlink 4-27 (v1.5),"[{'type': 'Satellite', 'mass': 16000, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
2022-08-28 02:22:00+00:00,Starlink 4-23 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
2022-08-31 05:40:00+00:00,Starlink 3-4 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
2022-09-05 02:09:00+00:00,Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}, {'type': 'Satellite', 'mass': 180, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2022-09-11 01:10:00+00:00,Starlink 4-2 (v1.5) & Blue Walker 3,"[{'type': 'Satellite', 'mass': 14760, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,556404.5416666666,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
2022-09-17 01:05:00+00:00,Starlink 4-34 (v1.5),"[{'type': 'Satellite', 'mass': 16100, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2022-09-24 23:30:00+00:00,Starlink 4-35 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
2022-10-05 16:00:00+00:00,Crew-5,"[{'type': 'Crew Dragon', 'mass': None, 'orbit': 'ISS'}]",Falcon 9,0,70.0,3.7,549054.0,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,,"(28.4104, -80.6188)",Success
2022-11-01 13:41:00+00:00,USSF-44,"[{'type': 'Satellite', 'mass': 3700, 'orbit': 'GTO'}]",Falcon Heavy,2,70.0,3.806944444444444,556404.5416666666,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",,,,"(nan, nan)",Success
2022-10-20 14:50:00+00:00,Starlink 4-36 (v1.5),"[{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-10-08 23:05:00+00:00,Galaxy 33 (15R) & 34 (12R),"[{'type': 'Satellite', 'mass': 7350, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-10-15 05:22:00+00:00,Hotbird 13F,"[{'type': 'Satellite', 'mass': 4501, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-11-03 03:24:00+00:00,Hotbird 13G,"[{'type': 'Satellite', 'mass': 4351, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-11-08 00:00:00+00:00,Galaxy 31 (23R) & 32 (17R),"[{'type': 'Satellite', 'mass': 6600, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-11-15 00:00:00+00:00,Eutelsat 10B,"[{'type': 'Satellite', 'mass': 5510, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.806944444444444,549054.0,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
2022-11-22 00:00:00+00:00,ispace Mission 1 & Rashid,"[{'type': 'Satellite', 'mass': 5500, 'orbit': 'GTO'}]",Falcon 9,0,70.0,3.7,556404.5416666666,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",,,,"(nan, nan)",Success
