launch_name,payloads,rocket_name,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
Starlink 4-13 (v1.5),"{'type': 'Satellite', 'mass': 13255, 'orbit': 'VLEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink 4-15 (v1.5),"{'type': 'Satellite', 'mass': 13275, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-18 (v1.5),"{'type': 'Satellite', 'mass': 13216, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Transporter-5,"{'type': 'Satellite', 'mass': None, 'orbit': 'SSO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
Nilesat-301,"{'type': 'Satellite', 'mass': 3938, 'orbit': 'GEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-19 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
SARah 1,"{'type': 'Satellite', 'mass': 2200, 'orbit': 'SSO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",LZ-4,RTLS,California,"(34.632989, -120.615167)",Success
Globalstar FM15,"{'type': 'Satellite', 'mass': 650, 'orbit': 'LEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
SES-22,"{'type': 'Satellite', 'mass': 3369, 'orbit': 'MEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-21 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 3-1 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
CRS-25,"{'type': 'Dragon 2.0', 'mass': None, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-22 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 3-2 (v1.5),"{'type': 'Satellite', 'mass': 14100, 'orbit': 'VLEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink 4-25 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
KPLO,"{'type': 'Satellite', 'mass': 678, 'orbit': 'TLI'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-26 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 3-3 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink 4-27 (v1.5),"{'type': 'Satellite', 'mass': 16000, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-23 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 3-4 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-20 (v1.5) & Sherpa LTC-2/Varuna-TDM,"{'type': 'Satellite', 'mass': 180, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-2 (v1.5) & Blue Walker 3,"{'type': 'Satellite', 'mass': 14760, 'orbit': 'VLEO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",ASOG,ASDS,Florida,"(33.7291858, -118.262015)",Success
Starlink 4-34 (v1.5),"{'type': 'Satellite', 'mass': 16100, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Starlink 4-35 (v1.5),"{'type': 'Satellite', 'mass': 13260, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Crew-5,"{'type': 'Crew Dragon', 'mass': None, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
