launch_name,payloads,rocket_name,launchpad_name,launchpad_region,launchpad_geo,landpad_name,landpad_type,landpad_region,landpad_geo,outcome
Merah Putih,"{'type': 'Satellite', 'mass': 5800, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Telstar 18V,"{'type': 'Satellite', 'mass': 7060, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
SAOCOM 1A,"{'type': 'Satellite', 'mass': 2800, 'orbit': 'SSO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",LZ-4,RTLS,California,"(34.632989, -120.615167)",Success
Es’hail 2,"{'type': 'Satellite', 'mass': 5300, 'orbit': 'GTO'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
SSO-A,"{'type': 'Satellite', 'mass': 4000, 'orbit': 'SSO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
CRS-16,"{'type': 'Dragon 1.1', 'mass': 2573, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",LZ-1,RTLS,Florida,"(28.485833, -80.544444)",Success
Iridium NEXT Mission 8,"{'type': 'Satellite', 'mass': 9600, 'orbit': 'PO'}",Falcon 9,VAFB SLC 4E,California,"(34.632093, -120.610829)",JRTI,ASDS,Florida,"(28.4104, -80.6188)",Success
Nusantara Satu (PSN-6) / S5 / Beresheet,"{'type': 'Satellite', 'mass': 5645, 'orbit': 'GTO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
CCtCap Demo Mission 1,"{'type': 'Crew Dragon', 'mass': 12259, 'orbit': 'ISS'}",Falcon 9,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
ArabSat 6A,"{'type': 'Satellite', 'mass': 6465, 'orbit': 'GTO'}",Falcon Heavy,KSC LC 39A,Florida,"(28.6080585, -80.6039558)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
CRS-17,"{'type': 'Dragon 1.1', 'mass': 2482, 'orbit': 'ISS'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
Starlink v0.9,"{'type': 'Satellite', 'mass': 13620, 'orbit': 'VLEO'}",Falcon 9,CCSFS SLC 40,Florida,"(28.5618571, -80.577366)",OCISLY,ASDS,California,"(33.7291858, -118.262015)",Success
